text,label
"Please verify your account immediately",1
"Click here to update your payment information",1
"Your account has been suspended - urgent action required",1
"Congratulations! You've won $1,000,000",1
"Urgent: Confirm your identity to avoid account closure",1
"Your bank account has been compromised",1
"Win a free iPhone by clicking this link",1
"Security alert: Suspicious login detected",1
"Claim your prize now - limited time offer",1
"Your subscription expires today - renew now",1
"Meeting scheduled for tomorrow at 2 PM",0
"Project deadline reminder - due Friday",0
"Thanks for the great presentation today",0
"Coffee break at 3 PM in the break room",0
"Budget report attached for your review",0
"Team lunch on Friday - please confirm attendance",0
"Monthly newsletter - Q3 updates",0
"Training session next week on new software",0
"Happy birthday! Hope you have a great day",0
"Conference call rescheduled to 4 PM",0
